| end of split   1 / 18 | epoch   1 | time: 10.59s | valid loss  2.03 | valid ppl     7.62 | learning rate 20.0000
| end of split   2 / 18 | epoch   1 | time: 11.21s | valid loss  2.07 | valid ppl     7.93 | learning rate 20.0000
| end of split   3 / 18 | epoch   1 | time:  9.77s | valid loss  2.16 | valid ppl     8.71 | learning rate 20.0000
| end of split   4 / 18 | epoch   1 | time: 13.29s | valid loss  2.20 | valid ppl     9.04 | learning rate 20.0000
| end of split   5 / 18 | epoch   1 | time: 11.02s | valid loss  2.16 | valid ppl     8.68 | learning rate 20.0000
| end of split   6 / 18 | epoch   1 | time: 11.03s | valid loss  2.10 | valid ppl     8.20 | learning rate 20.0000
| end of split   7 / 18 | epoch   1 | time: 11.64s | valid loss  2.12 | valid ppl     8.33 | learning rate 20.0000
| end of split   8 / 18 | epoch   1 | time:  8.89s | valid loss  2.04 | valid ppl     7.73 | learning rate 20.0000
| end of split   9 / 18 | epoch   1 | time:  8.88s | valid loss  2.10 | valid ppl     8.17 | learning rate 20.0000
| end of split  10 / 18 | epoch   1 | time:  6.55s | valid loss  2.15 | valid ppl     8.58 | learning rate 20.0000
| end of split  11 / 18 | epoch   1 | time:  8.60s | valid loss  2.07 | valid ppl     7.90 | learning rate 20.0000
| end of split  12 / 18 | epoch   1 | time: 10.37s | valid loss  2.09 | valid ppl     8.11 | learning rate 20.0000
| end of split  13 / 18 | epoch   1 | time:  8.98s | valid loss  1.99 | valid ppl     7.32 | learning rate 5.0000
| end of split  14 / 18 | epoch   1 | time:  9.04s | valid loss  1.95 | valid ppl     7.06 | learning rate 5.0000
| end of split  15 / 18 | epoch   1 | time:  8.78s | valid loss  1.95 | valid ppl     7.01 | learning rate 5.0000
| end of split  16 / 18 | epoch   1 | time: 10.86s | valid loss  1.94 | valid ppl     6.96 | learning rate 5.0000
| end of split  17 / 18 | epoch   1 | time: 13.33s | valid loss  1.93 | valid ppl     6.87 | learning rate 5.0000
| end of split  18 / 18 | epoch   1 | time: 11.51s | valid loss  1.92 | valid ppl     6.79 | learning rate 5.0000
| end of split   1 / 18 | epoch   1 | time:  9.00s | valid loss  4.07 | valid ppl    58.77 | learning rate 20.0000
| end of split   2 / 18 | epoch   1 | time:  8.07s | valid loss  4.32 | valid ppl    75.13 | learning rate 20.0000
