EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_ACCURACY	TRAIN_F-SCORE	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_ACCURACY	DEV_F-SCORE	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_ACCURACY	TEST_F-SCORE
0	06:07:06	0	0.1000	84.16727914383162		_	_	_	_	55.471614837646484	0.6548	0.2045	0.1846	0.3117	_	0.4375	0.1479	0.1243	0.2211
1	06:10:58	0	0.1000	76.88259568854944		_	_	_	_	52.24326705932617	0.6328	0.3011	0.2563	0.408	_	0.4645	0.2535	0.1962	0.328
2	06:14:42	0	0.1000	81.01762913945896		_	_	_	_	53.45344543457031	0.6197	0.2454	0.2132	0.3516	_	0.4252	0.1901	0.1513	0.2627
3	06:18:18	1	0.1000	73.72971446478545		_	_	_	_	50.559593200683594	0.663	0.2268	0.2033	0.338	_	0.5052	0.1725	0.1476	0.2572
4	06:21:56	0	0.1000	74.84016304585471		_	_	_	_	45.718563079833984	0.6154	0.461	0.3579	0.5271	_	0.457	0.412	0.2766	0.4333
5	06:25:20	1	0.1000	72.10255500451842		_	_	_	_	52.6390380859375	0.5354	0.4219	0.3088	0.4719	_	0.3737	0.3697	0.2283	0.3717
6	06:29:03	0	0.1000	70.24432600789996		_	_	_	_	45.46603775024414	0.6453	0.4126	0.3364	0.5034	_	0.5101	0.3556	0.2651	0.4191
7	06:32:45	0	0.1000	69.14988594624533		_	_	_	_	54.32495880126953	0.6215	0.2045	0.1818	0.3077	_	0.4828	0.1972	0.1628	0.28
8	06:36:28	0	0.1000	71.20195121195779		_	_	_	_	44.70927047729492	0.6014	0.4796	0.3639	0.5336	_	0.4419	0.4155	0.2725	0.4283
9	06:40:03	1	0.1000	68.91589765406367		_	_	_	_	59.40378952026367	0.4355	0.4833	0.2971	0.4582	_	0.2933	0.4648	0.2193	0.3597
10	06:43:28	0	0.1000	74.99728348006063		_	_	_	_	43.62515640258789	0.6189	0.4015	0.3219	0.487	_	0.4715	0.3204	0.2358	0.3815
11	06:46:56	1	0.1000	68.79913330078125		_	_	_	_	51.71858215332031	0.588	0.2546	0.2161	0.3553	_	0.487	0.2641	0.2066	0.3425
12	06:50:28	0	0.1000	67.80942319044426		_	_	_	_	50.85927963256836	0.644	0.2286	0.203	0.3374	_	0.5338	0.25	0.2052	0.3405
13	06:53:53	0	0.1000	63.96413273597831		_	_	_	_	46.985511779785156	0.6287	0.3178	0.2676	0.4222	_	0.539	0.2923	0.2338	0.379
14	06:57:29	0	0.1000	64.51576665622085		_	_	_	_	42.57114791870117	0.5996	0.4981	0.3738	0.5442	_	0.4476	0.4507	0.2896	0.4491
15	07:00:56	1	0.1000	63.914159518569264		_	_	_	_	42.40715789794922	0.612	0.4721	0.3634	0.533	_	0.494	0.4366	0.3017	0.4635
16	07:04:25	0	0.1000	65.69810463065532		_	_	_	_	66.34452056884766	0.7632	0.0539	0.053	0.1007	_	0.8125	0.0915	0.0897	0.1645
17	07:07:50	1	0.1000	64.47804328576842		_	_	_	_	44.185977935791016	0.6156	0.3662	0.298	0.4592	_	0.5355	0.3451	0.2656	0.4197
18	07:11:25	2	0.1000	65.0000414492479		_	_	_	_	42.65431594848633	0.6707	0.4126	0.3431	0.5109	_	0.5829	0.3592	0.2857	0.4445
19	07:14:49	3	0.1000	59.5822316639459		_	_	_	_	41.54636001586914	0.6038	0.4703	0.3594	0.5288	_	0.5123	0.4401	0.3102	0.4735
